Description,Summary,Cause of Issue,Request Category,Comments,input_text,Topic,Topic_Probability,Matched_Subtopic
Good morning CAFB I hope your weekend went well and that your week is off to a wonderful start Thank you again for all your hard work It is Capital Christian Fellowship We have a request we are supposed to have a delivery on Monday September 16th and Tuesday September 17th Is it possible that the items ordered for Monday will be added and delivered on Tuesday 17 and that the Monday 16 delivery will be cancelled Thank you in advance for your reply Be blessed,Customer requests to reschedule delivery for Monday and have items added to Tuesday delivery.,Request of Customer Relations,Orders - Pre delivery ->  Request unavailable window,092024 1143Good morning Thank you for reaching out to Customer Relations I went ahead and spoke to Augusta and she made me aware that SO173733 was a placeholder for your produce hub So we canceled that and moved your order from Monday to Tuesday with the oat milk and Grace and Augusta will add to that order when it comes time to put produce on your order Thank you | 092024 1144The partner wanted to combine orders instead of having two orders back to back,Orders - Pre delivery ->  Request unavailable window | Customer requests to reschedule delivery for Monday and have items added to Tuesday delivery.,9,0.475964989446314,Reschedule delivery date
Good morning CAFB I hope my email finds you well I sent you yesterday an email about a message that appears on your site while placing orders but I did not receive an answer yet The message says aYou are required to verify all your hours of operation records before 102024 or your account will be lockeda What hours of operation must be recorded I dont really understand this message Thank you in advance for the explanation Also in our October 1st order there is item 100773 Good Culture Probiotic Whole Milk which needs to be refrigerated Is it possible for it to be delivered with our other orders on Wednesday which is our distribution day This will save us the storage problem Thank you in advance Be blessed,Customer is asking for clarification on a message they received on the website and also requesting that an item be delivered on a specific day.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,092024 11b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for reaching out We will not be hosting another training session but there are tools available to assist you You can find a guide in PDF format called under the Partner Resource Tab on PartnerLink This document provides instructions on how to update your hours of operation Once you are logged into PartnerLink click on your agency name to access your Account Overview Under Additional Information you will find a button labeled Click on it to view the hours currently listed for your agency If the hours are correct click to confirm If the hours are not correct please make the necessary changes by clicking aedita submit them and once approved by your Regional Coordinator the updated hours will be officially updated If you still need assistance please attend one of our online Office Hours every Wednesday from 10am10am Also I have moved item 100773 Good Culture Probiotic Whole Milk to for Wednesday delivery Thank you Charity,Orders - Pre delivery -> Edit Order Items | Customer is asking for clarification on a message they received on the website and also requesting that an item be delivered on a specific day.,-1,0.0,Schedule delivery
Good afternoon Team CAFB Hope you had a great Thanksgiving We have a concern about the milk that will be delivered to us on Wednesday December 4 Is it possible that for this time the amount will be reduced to instead of 108 The reason is that at our last milk distribution we noticed that our guests were very careful about the best byexpiration date and we had milk that was left over This was not a problem at that time because we were able to keep them in the refrigerator until the following food distribution But we have the same leftover milk we do not have enough space in the refrigerator at the moment to keep them and we do not want to waste food This is why we want to be careful Thank you in advance for your understanding Have a blessed day,"Customer wants to reduce the amount of milk to be delivered on Wednesday, December 4 due to lack of refrigerator space.",Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,122024 03b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support We are looking into this and will get back to you Charity | 122024 10b15fa988bc6049b4aa6fe30b7a3629c1Hello Thank you for contacting customer support We have adjusted the milk on your order Charity | 122024 1165d20c5a0c84458e8ce1adb90d07460f3e811295a79f43b59b948d895785c52aThank you so much | 122024 11f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,"Orders - Pre delivery -> Edit Order Items | Customer wants to reduce the amount of milk to be delivered on Wednesday, December 4 due to lack of refrigerator space.",-1,0.0,Schedule delivery
I hope my email finds you well We have a request in our delivery SO189299 can you reduce the number of apple sauce pallets to 2 for the month of January The third pallet can be assigned to our order that we will make in February Thank you in advance,Customer requests a reduction in apple sauce pallets for the month of January and assignment of the third pallet to their February order.,Request of Customer Relations,Orders - Pre delivery -> Edit Order Items,012025 1101Good morning Thank you for reaching out to Customer Relations and Happy New Year Yes I have gone ahead and reduced the quantity to 2 on your sales order Thank you and have a great day,Orders - Pre delivery -> Edit Order Items | Customer requests a reduction in apple sauce pallets for the month of January and assignment of the third pallet to their February order.,-1,0.0,Schedule delivery
Good evening CAFB I hope my email finds you well It is Capital Christian Fellowship I would like to inform you that our purchase SO170160 was incomplete at delivery this morning We have not received the 10 boxes of Meals of Hope the 2 boxes of Vegetable Oil Thank you Be blessed,Customer informs of incomplete delivery and missing items.,Ops Issue,Delivery / Pickup -> Missing Item - Refund,082024 09f58131cbb67d43c7b30d6b58d40bd077Hi marieodahcapitalchristianorg Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 0938c8249284fe40dc890161d65a68f6d3Good morning and thank you for contacting customer support We apologize for the inconvenience that this may have caused I will be forwarding this concern to our warehouse and management team We appreciate your patience while we work to resolve this CiArra | 082024 1165d20c5a0c84458e8ce1adb90d07460f3e811295a79f43b59b948d895785c52aThank you so much Be blessed | 082024 0219Dear Marie We apologize for the delay in responding to your ticket We have investigated the issue with our Operations Teams and unfortunately we were unable to locate the items in our warehouse for redelivery As a result we have processed a credit of 9604 to your account which is the total value of the two missing products from your order This credit will be automatically applied to your next order once approved by our Finance Department as the invoice associated with this order has been paid in full We sincerely apologize for this inconvenience Rest assured we will review the situation to prevent it from happening again in the future Thank you for your understanding Sincerely | 082024 0265d20c5a0c84458e8ce1adb90d07460f3e811295a79f43b59b948d895785c52aDear Thank you very much for your response But the milk was free on the menu so we didnt pay anything for them I think the refund is an error | 082024 02f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved | 082024 0252Hi Marie | 082024 0365d20c5a0c84458e8ce1adb90d07460f3e811295a79f43b59b948d895785c52aOk Thank you so much,Delivery / Pickup -> Missing Item - Refund | Customer informs of incomplete delivery and missing items.,2,0.480938565709529,Delivery / Pickup - Return - Quality
Lori Sikra Friday July 12 2024 1043 AM Alanna King Partner Support Maria E Rodriguez Joanna Miller CCDA Alexandria Food Pantry new Pantry Manager Hello Capital Area Food Bank partners This email is to inform you of the new Pantry Manager at our Alexandria Food Pantry location at 4725A Eisenhower Ave Alexandria 22304 Effective immediately please send all communication to her SheaTMs currently in between office numbers so please use her cell if you need to speak directly with her Below is her contact information should you need her She will need Smart Shop VA unless reviewing the Smart Shop VA online training presentation is acceptable She will also need a username and password Please advise the best way to go about this and any questions you may have Thank you Assistant Program Director St Lucy Food Project Catholic Charities of the Diocese of Arlington 842628 Kao Circle Manassas VA 20110 7034792975 ext 1703 4085690391 cell The information contained in this communication from lorettasikraccdanet sent at 20240712 1049 is confidential and may be legally privileged It is intended solely for use by the intended recipient and others authorized to receive it If you have received this communication in error you are hereby notified that any disclosure copying distribution or taking action in reliance of the contents of this information is strictly prohibited and may be unlawful,Customer informs the pantry of a new manager and provides contact information.,Request of Customer Relations,PartnerLink -> New Shopper,072024 0465d20c5a0c84458e8ce1adb90d07460f65f3e1aaf2a34bed843615af6fe24357 | 072024 04f58131cbb67d43c7b30d6b58d40bd077Hi partnersupportcapitalareafoodbankorg We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 072024 11b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support We are happy to get your new Pantry Manager setup with access to Partnerlink Please have them attend one of our SMART Shopping Trainings mandatory to gain access to the website This virtual training is an hour long and will review shopping practices and policies Our next training opportunities for Virginia Partners are Best Charity | 072024 01e20bdecf42234541bd3b95ed1f7c67d2Hello Charity I would like to sign up for the training on 0730,PartnerLink -> New Shopper | Customer informs the pantry of a new manager and provides contact information.,1,1.0,New Shopper
Hello Could you kindly provide your UEI number that I may give to our finance department Assistant Program Director St Lucy Food Project Catholic Charities of the Diocese of Arlington 842628 Kao Circle Manassas VA 20110 7038809568 ext 1703 The information contained in this communication from lorettasikraccdanet sent at 20250110 1026 is confidential and may be legally privileged It is intended solely for use by the intended recipient and others authorized to receive it If you have received this communication in error you are hereby notified that any disclosure copying distribution or taking action in reliance of the contents of this information is strictly prohibited and may be unlawful,Customer requests UEI number for finance department.,Request of Customer Relations,Agency Administration -> Connection to CAFB Staff,012025 1020e90834c8864678b54b428cb55b15ec | 012025 0326Good afternoon Thank you for contacting Customer Relations Please send in a request to CAFB Accounts Receivable and they will assist you with getting what you need Thank you,Agency Administration -> Connection to CAFB Staff | Customer requests UEI number for finance department.,14,0.5905937978652851,UEI Number
Hello Sorry for the inconvenience but would we be able to reschedule this order to 224 Maria Rodriguez St Lucy Food Project Catholic Charities of the Diocese of Arlington 4725A Eisenhower Ave Alexandria VA 22304 7037198939 The information contained in this communication from mariarodriguezccdanet sent at 20250213 1422 is confidential and may be legally privileged It is intended solely for use by the intended recipient and others authorized to receive it If you have received this communication in error you are hereby notified that any disclosure copying distribution or taking action in reliance of the contents of this information is strictly prohibited and may be unlawful,Customer wants to reschedule an order to a different address.,Request of Customer Relations,Partner Produce Limit -> Overage Alert,022025 02e20bdecf42234541bd3b95ed1f7c67d2 | 022025 03b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support This is confirmation that we rescheduled your order to from Charity,Partner Produce Limit -> Overage Alert | Customer wants to reschedule an order to a different address.,-1,0.0,Schedule delivery
Hi there Due to a staffing change on our end for 816 well need to postpone delivery for the pending order SO170984 How do we proceed from here to change the delivery to the following week Thanks Cristina h2 On Thu Aug 1 2024 at 3 Capital Area Food Bank aS 2026449845 4900 Puerto Rico Ave NE Washington DC 20017,Customer wants to postpone delivery due to staffing change.,Request of Customer Relations,Orders - Pre delivery -> Data/Time Change - Reschedule,082024 07f58131cbb67d43c7b30d6b58d40bd077Hi sandovalccuaedu Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 09b15fa988bc6049b4aa6fe30b7a3629c1Good morning Thank you for contacting customer support Below are the following availabilities we have for next week Please let me know which appointment you would like to reschedule for Monday 819 8am10am 10am12pm12pm2pm Tuesday 820 10am12pm 12pm2pm Wednesday 821 12pm2pm Thursday 822 8am10am 10am12pm 12pm2pm Charity | 082024 0965d20c5a0c84458e8ce1adb90d07460f 12pm2pm works for us Cristina | 082024 01b15fa988bc6049b4aa6fe30b7a3629c1Thank you for confirming I have rescheduled your appointment to Tuesday August 20th from 12pm2pm Charity,Orders - Pre delivery -> Data/Time Change - Reschedule | Customer wants to postpone delivery due to staffing change.,11,0.5939237712533237,change delivery date
Hello I just spoke with Ms Burks about the 75 delivery charge on invoice 171178 Her entire order consisted of free produce Although a grant wasnt used all items except the cantaloupe were categorized as MD TEFAP Could you please review and confirm whether the cantaloupe was placed in the correct category and if the delivery fee is accurate If the charge is valid would it be possible to reach out to Austin to inquire about waiving the fee Following that could we update Ms Burks on the outcome Unfortunately Friday is my last day before maternity leave so I wont be able to handle the followup myself Thank you for your assistance Thank you Angel Angel CurryWinston Senior Accountant Capital Area Food Bank P 2029630190 4900 Puerto Rico Ave NE Washington DC 20017 Thomas Britton Wednesday August 28 2024 107 PM Angel CurryWinston FW21 Zoom Wednesday August 28 2024 1222 PM Thomas Britton New Voicemail from STEPHANIA BURKS 4125014 to CAFB DC Main on Wed Aug 28 2024 1221 Wed Aug 28 2024 1221 STEPHANIA BURKS 4125014 CAFB DC Main 0032 18887999666 A2024 Zoom All Rights Reserved,Customer requests assistance in resolving an issue with their order and delivery fee.,Partner Knowledge/Training,Billing / Grants -> Discrepancy in Invoice,082024 02f58131cbb67d43c7b30d6b58d40bd077Hi Angel CurryWinston We just received your request for assistance We will reply as soon as possible Thank you Customer Relations Capital Area Food Bank | 082024 0207 | 082024 0732Thank you Angel for this email I have responded to the partner via email,Billing / Grants -> Discrepancy in Invoice | Customer requests assistance in resolving an issue with their order and delivery fee.,7,0.4132824834699657,Delivery Issue Resolution
We hereby request for Produce to support the below order Best regards Godwin Binutu For CCC Majemu Parish,Customer requests support for an order.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,082024 1065d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8ae | 082024 10f58131cbb67d43c7b30d6b58d40bd077Hi Godwin Binutu Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 082024 0965d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8ae Forwarded message From Date20a AM Subject Request for produce To We hereby request for Produce to support the below order Best regards Godwin Binutu For CCC Majemu Parish | 082024 02b15fa988bc6049b4aa6fe30b7a3629c1Good afternoon Thank you for contacting customer support At the moment there is no produce available to add to your order I will keep your ticket open and monitor should more produce come available before your order locks Charity | 082024 0265d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8aeThank you for your response | 082024 1065d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8ae Forwarded message From Date20a AM Subject Request for produce To We hereby request for Produce to support the below order Best regards Godwin Binutu For CCC Majemu Parish | 082024 1065d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8aeWe hereby request for Produce to support the below order Best regards Godwin Binutu For CCC Majemu Parish | 082024 0165d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8aeThis is to let you know that this is my third time of putting in my request for Produce Your response on my first request was you will add up produce before my request will be closed I have no information after then I thank you for your usual timely cooperation in this matte Regards Godwin | 082024 0956Good morning Godwin I hope this message finds you well I am writing in response to your recent produce requests particularly your most recent message I want to assure you that we do receive all of your produce requests As weve mentioned before we can only add produce that is available Charity the Customer Service Coordinator who has been assisting you explained that we did not have any produce available on Monday She assured you that she would monitor our inventory and add the produce to your order before it locks it becomes available Charity kept your ticket open and checked the menu regularly but unfortunately we did not have any produce to add to your order before it locked yesterday evening I understand your frustration with this process but please know that the produce we receive is put on the menu as soon as it is available While my team supports partners by monitoring the menu it would be best for you to also check the menu for updates Unfortunately we cannot add produce that is simply not available I hope this provides some clarity I also doublechecked for any available produce before sending this message and saw that none was available Thank you Manager of Customer Relations and Distribution Network Evolution A,Orders - Pre delivery -> Produce Request | Customer requests support for an order.,6,0.4794695074694668,Order Inquiry
We refer to our order below to request for Produce to supplement our order which we normally distribute every last Saturday of the month Our pick up is Friday 25th October 2024 Thanks for your assistance and cooperation Godwin Binutu For CCC Covenant Parish,Customer requests for produce supplement for their order.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,102024 0765d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8ae | 102024 0940Good morning Godwin Thank you for informing us about your request I noticed you submitted a request earlier this week as well Unfortunately due to the holiday on Monday we had one less day to accept shipments so there was no produce available to add We still have some time so we will keep an eye on the produce and let you know what we can secure for you Thank you for your patience and understanding Best regards DH Manager of Customer Relations Distribution Network Evolution Capital Area Food Bank P 5713909875 7035410179 4900 Puerto Rico Ave NE Washington DC 20017 Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly Thank you | 102024 1265d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8ae Forwarded message From Date53a AM Subject Request for Produce To Partner Support DH Laura Jeske We refer to our order below to request for Produce to supplement our order which we normally distribute every last Saturday of the month Our pick up is Friday 25th October 2024 Thanks for your assistance and cooperation Godwin Binutu For CCC Covenant Parish | 102024 0823Good morning Godwin I hope you are doing well I wanted to let you know that the only produce IaTMve seen on our menu so far is peppers which I have added to your order I will keep an eye on the menu throughout the day for any updates Thank you for your patience Best DH Manager of Customer Relations Distribution Network Evolution Capital Area Food Bank P 5713909875 7035410179 4900 Puerto Rico Ave NE Washington DC 20017 Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly Thank you | 102024 0865d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8aeThank you so much for the update | 102024 1022Good morning Godwin I hope you are doing well I wanted to reach out to let you know that unfortunately I was only able to add the cases of peppers that I mentioned earlier to your order I spoke with our head of procurement and it seems that this week has been challenging for our inventory due to delays in receiving truckloads of produce I apologize for this inconvenience and hope that we will see more incoming fallautumn produce items soon Best DH Manager of Customer Relations Distribution Network Evolution Capital Area Food Bank P 5713909875 7035410179 4900 Puerto Rico Ave NE Washington DC 20017 Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly Thank you,Orders - Pre delivery -> Produce Request | Customer requests for produce supplement for their order.,6,0.66726076408003,Supplement Request
We hereby request for Produce inrespect of the order below Thanks and regards Godwin Binutu CCC Majemu Parish,Customer requests produce for an order.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,092024 0765d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8ae | 092024 0815Good morning Thank you for your request I have gone ahead and checked and the only produce that I saw was a bin of squash which has been added to your order I will follow up if I see additional items to add Thank you | 092024 0865d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8aeThank you for your quick response Majority of our clients are Africans and spanish they will not collect squash from us based on our previous experience We would appreciate if you can replace it with any other available produce Best regards Godwin | 092024 1023Good afternoon Godwin I can remove the squash from your order However please note that we currently have no other produce available to replace it and I will continue to look for alternatives Once I remove the squash there is a possibility that it will be out of stock | 092024 12f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 02f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 04f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 08f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 10f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 1053Good morning Godwin I see that you submitted another questionticket and I will follow up there,Orders - Pre delivery -> Produce Request | Customer requests produce for an order.,6,0.4941256418666752,Order Inquiry
Thank you for your acknowledged of our current order We are by this order number which to know which produce you have for our pick up Thanks for your cooperation Regards Godwin Binutu For,Customer wants to know which produce is available for pickup.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,062024 06f58131cbb67d43c7b30d6b58d40bd077Hi Godwin Binutu Thank you for contacting the Capital Area Food BankaTMs Customer Relations Department Our hours of operation between Memorial Day and Labor Day are Monday through Thursday 8 am to 5 pm and Friday 8am to 3 pm We will respond to your request in a timely manner during business hours You can expect a response by 10 am the next business day for requests sent outside of business hours Thank you Customer Relations Capital Area Food Bank | 062024 1150Good morning Thank you for contacting Customer Service I have added a mixed produce pallet to your order This pallet contains potatoes cabbage and onions Thank you,Orders - Pre delivery -> Produce Request | Customer wants to know which produce is available for pickup.,6,0.7720128741867827,Produce Request
This is a reminder on our previous email request Please l want you to note that our order is once a month and for three consecutive months we were not supported with any produce We have not experienced this kind of frustration before we will pick up our order this Friday by 10am Your assistance will be greatly appreciated Regards Godwin,Customer requests assistance with their order.,Partner Knowledge/Training,Orders - Pre delivery -> Produce Request,092024 0765d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8ae | 092024 1106Good morning Godwin Thank you for your additional ticket As I mentioned in my last message to you we only had squash available at the time which I know you had said your clients dont prefer I removed it from our order and have been checking the menu since then but I havent seen any additional produce available Even though your order is locked I will continue to look out for produce today for your agency as I understand the issues youve had with securing produce for your last two orders I think it would be helpful for you to meet with Laura and me to discuss this issue further as it seems to be a recurring problem that is affecting your orders Can you please let us know some days and times you are available to meet with both Laura and me this week or next week over Zoom Thank you for your patience | 092024 02f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 04f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 08f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 10f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 12f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 02f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 04f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 08f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 10f58131cbb67d43c7b30d6b58d40bd077Hello This is an automated reminder from Capital Area Food Bank Customer Services We recently sent an update to your request and we are waiting on your reply You can review and reply to our update in our most recent email or login to the CAFB Support Portal to read our latest reply and leave your comment We will then respond as soon as possible Thank you DH | 092024 1022Laura and I met with this partner on zoom and was able to provide some tips and next steps for securing produce,Orders - Pre delivery -> Produce Request | Customer requests assistance with their order.,6,0.5626923187200499,Order Inquiry
We are by this mail request Capital Area Foodbank to include in our order for this month 100pcs of Turkey for Thanksgiving whenever it is available Our intention is to have our food give out on Saturday 23rd November 2024 by 12noon We thank you for your cooperation in this matter Regards Godwin Binutu For CCC Covenant Parish 2404678399,Customer wants to include 100 pieces of turkey in their order for Thanksgiving.,Request of Customer Relations,Orders - Pre delivery -> Produce Request,112024 0235Good afternoon Godwin This year our Food Procurement Team purchased two truckloads of turkeys each at a cost of approximately 60 to 70 per case and were available on PartnerLink These turkeys have been allocated to various orders and are no longer available I reached out to my colleagues on the Food Resources Team who informed me that we often receive donated turkeys These donations will be provided at no cost now that the shared maintenance fee has been waived for donated items However Typically individuals and organizations tend to donate turkeys closer to Thanksgiving usually in the week before the holiday or during the holiday week itself Please continue to check the menu regularly to see if turkeys are added If we do receive them they will be added to the menu and available to partners on a firstcome firstserved basis Thank you DH | 112024 0165d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8aeDear Harmon Thank you for your response We buy Turkey every year from CAFB in bulk you can check your record I think our organization should have been given some consideration during the sharing of 2 trucks load of Turkey We dont rely on donations we buy our Turkey every year We observed that since Elvis left we have been having issues inrespect of our order this is very unfair Our community are expecting thanksgiving Turkey from us only to disappoint them at the end Regards Godwin Binutu | 112024 0100Good afternoon Godwin I hope this message finds you well Thank you for reaching out to me again regarding the turkey availability I completely understand how important this is for your community especially during the holidays I want to clarify that all the turkeys we receive are available on a first come first served basis for all our partners just like other items on the menu I also realize that in previous years there was a fee associated with our donated turkeys However IaTMm pleased to share that this fee has been waived for this fiscal year so itaTMs possible you may have paid in the past but you would not have to this time for the donated product I genuinely want to ensure that you and your clients receive the support you need this holiday season I understand how quickly these items can disappear from the menu and I encourage you to check it daily as we frequently add new products Right now we also have vegetable oil stuffing mix corn muffin mix canned collard greens and beans that might help supplement your holiday distributions Please feel free to check the menu regularly and if I see any additional turkeys come available I will reach out to you Thank you for your understanding and know that we are here to support you and your community during this important time Warm regards DH Manager of Customer Relations Distribution Network Evolution Capital Area Food Bank P 5713909875 7035410179 4900 Puerto Rico Ave NE Washington DC 20017 Please email all customer service questions or concerns to so that one of my colleagues or I can assist you promptly Thank you | 112024 0126Hello Godwin IaTMm sorry to hear that you feel you havenaTMt gotten the service you would like since there have been changes in staff I would be happy to connect with you to discuss any challenges you are having Regarding the turkeys unfortunately we donaTMt have the capacity to track every partner that has received turkeys in the past and it wouldnaTMt be fair to our other partners to reserve inventory for a select few However there are times when we will receive a donation that is specifically allocated for the DC region While this isnaTMt a guarantee that we will receive such a donation nor a promise to reserve anything the regional team has made note of your interest and will notify you if we receive a special donation of turkeys for the region As mentioned I also encourage you to continue checking PartnerLink so you will be aware as new items are added Please let me know if you have any further questions for the DC regional team Thank you for your continued partnership and the work you are doing to serve our community Best Laura | 112024 0859Closing this ticket and responding to his other open ticket | 112024 1165d20c5a0c84458e8ce1adb90d07460f5c4638d0a06942d198e3db15c053b8aeThank you for your assistance | 112024 11f58131cbb67d43c7b30d6b58d40bd077Customer has replied after the ticket has been resolved,Orders - Pre delivery -> Produce Request | Customer wants to include 100 pieces of turkey in their order for Thanksgiving.,-1,0.0,Add items to order
